계열,관련 학과,일반 선택,진로 선택,멘토의 한 마디
언어·문학,"국어국문학과, 동양어학과, 서양어학과, 영어영문학과, 통번역학과","생활과 윤리, 윤리와 사상, 세계지리, 동아시아사, 세계사, 사회·문화, 제2외국어Ⅰ, 한문Ⅰ, 철학, 논술 등","심화 국어, 고전 읽기, 영어권 문화, 진로 영어, 영미 문학 읽기, 고전과 윤리, 사회문제 탐구, 제2외국어Ⅱ, 한문Ⅱ 등","- 문학과 어학 관련 전공은 해당 언어에 대한 이해와 습득뿐만 아니라, 해당 문화에 대한 폭넓은 정보와 지식이 필요해요.

- 언어학 전공을 위해서는 꼼꼼하고 정확함이 요구되며, 문학 전공은 자유롭고 창의적인 사고도 필요해요.

- 어문학과는 현재 해당 언어에 능숙한지보다 해당 언어권의 문학, 언어, 문화 등 그 나라 전반에 관심이 있으면 충분해요.

- 각 언어권 국가의 잠재력을 생각해보고 그 분야에서 자신의 진로를 설계해 본다면 보다 즐겁고 의미 있게 준비할 수 있을 거예요."
인문과학,"고고학과, 문헌정보학과, 문화재보존학과, 문화콘텐츠학과, 사학과, 심리학과, 인류학과, 철학과","생활과 윤리, 윤리와 사상, 한국지리, 세계지리, 동아시아사, 세계사, 정치와 법, 사회·문화, 제2외국어Ⅰ, 한문Ⅰ, 논술, 심리학 등","고전 읽기, 고전과 윤리, 사회문제 탐구, 제2외국어Ⅱ, 한문Ⅱ 등","- 인간과 세계에 대한 관심, 다양한 문화에 대한 깊이 있는 식견 및 인문학 전반에 대한 이해가 필요해요.

- 기본적 지식들을 바탕으로 그 사실들을 어떻게 바라볼 것인지 관점에 대해 고민하고 탐구하는 것이 중요해요.

- 관련 학문 서적들을 꾸준히 읽고 토론하며 자신의 생각을 정리해보는 습관을 길러 보세요.

- 심리학 관련 전공은 과학 실험 방법론에 대한 이해가 필요하며, 인문학적 소양뿐만 아니라 사회과학, 자연과학 전반에 대한 관심도 필요해요."
상경,"경영학과, 경제학과, 금융보험학과, 무역·유통학과, 세무·회계학과, 호텔·관광경영학과","미적분, 확률과 통계, 생활과 윤리, 한국지리, 세계지리, 세계사, 동아시아사, 경제, 정치와 법, 사회·문화, 제2외국어Ⅰ, 논리학, 심리학 등","경제 수학, 영어권 문화, 진로 영어, 사회문제 탐구, 제2외국어Ⅱ 등","- 수리적인 분석력, 판단력 및 대량의 정보를 빠르게 습득·활용하는 능력이 중요하기에 학교에서 배우는 수학의 기초를 탄탄하게 해 두는 것이 좋아요. 

- 다른 분야와의 융합을 통해 새로운 응용 학문의 개척이 얼마든지 가능해요.

- 창업, 학계, 금융계, 기업계, 공공기관, 법조계, 언론 및 마케팅 등 다양한 분야로의 진로가 열려 있어요. "
사회교과교육과,사회과학의 제반 분야 교과 교육 관련 학문의 창의적 연구와 교육 현장에서 사회 교과 과목 교육자로서 현실적인 각종 사회 관련 문제에 올바르게 대처하여 합리적인 의사결정을 할 수 있는 진취적인 교사 양성을 목적으로 하는 학과이다. ,"* 인간에 대한 지속적인 관심을 갖고 사람들의 성격, 사고, 행동 등에 지적 호기심이 있는 학생
* 학생을 가르치는 것에 적성과 흥미가 있는 학생 
* 정치, 경제, 사회 문화 등 다양한 분야에 관심이 높은 학생
* 사회 현상을 바라보는 분석력과 통찰력을 갖춘 학생","사회과교육과, 일반사회교육과, 역사교육과, 지리교육과, 윤리교육과 등 ","고려대, 동국대, 동덕여대, 서울대, 성신여대, 이화여대, 총신대, 한양대, 홍익대 등","인천대, 인하대 등","강원대, 경상대, 경북대, 부산대, 전남대, 전북대, 충남대, 충북대, 제주대, 한국교원대 등","중등교사, 교육계열연구원, 교재 및 교구개발자, 과목관련연구원, 언론사 기자, 사회조사전문가, 학예사, 문화콘텐츠 기획 및 제작자, 큐레이터, 문화관광해설사 등","화법과 작문, 독서, 언어와 매체, 문학, 고전 읽기","수학Ⅰ, 수학Ⅱ, 확률과 통계","영어 회화, 영어Ⅰ, 영어 독해와 작문, 영어Ⅱ","해당 교과의 일반 선택, 진로 선택 과목, 사회문제 탐구",없음,"교육학, 심리학, 논술",,,,,,,,,,,,,
수학교육과,"수학교육은 자연현상 및 사회현상에 내재된 본질을 파악할 수 있는 논리적 분석력, 종합적 판단력 등의 인간의 인식능력을 향상시킬 수 있는 여러 가지 방안을 수학을 도구로 하여 인격과 전문성을 겸비한 교육인력 양성을 목적으로 하는 학과이다. ","* 논리적인 사고, 수리력, 꼼꼼한 관찰력 등이 필요
* 수학교육 및 수학관련 분야 사업을 하고 싶은 학생
* 창의적 수학 문제 해결력과 합리적 의사소통능력
* 수학 관련 응용 분야(컴퓨터, 통계학, 경제학 등)를 공부하고 싶은 학생",수학교육학과,"건국대, 고려대, 동국대, 상명대, 서울대, 이화여대, 한양대, 홍익대 등","단국대, 인천대, 인하대 등","강원대, 경상대, 경북대, 부산대, 전남대, 전북대, 충남대, 충북대, 제주대, 한국교원대 등","중등학교 교사, 교수, 연구원, 학습지 및 교재개발업체, 보험계리사, 금융자산전문가, 통계 분석가, 프로그래머, 학원 강사 등","화법과 작문, 독서, 언어와 매체, 문학","수학Ⅰ, 수학Ⅱ, 확률과 통계, 미적분, 기하, 수학과제 탐구","영어 회화, 영어Ⅰ, 영어 독해와 작문, 영어Ⅱ","생활과 윤리, 경제","물리학Ⅰ, 화학Ⅰ, 생명과학Ⅰ, 물리학Ⅱ",교육학,,,,,,,,,,,,,
과학교육과,자연현상을 연구 대상으로 하는 순수과학을 바탕으로 과학적인 이론과 실제적인 실험을 통하여 교육 현장에서 학생을 지도할 수 있는 능력을 갖춘 중등교원 양성을 목적으로 하는 학과이다.  ,"* 인간에 대한 지속적인 관심을 갖고 사람들의 성격, 사고, 행동 등에 지적 호기심이 있는 학생
* 과학교육을 포함한 교육 전반에 관심과 열정을 가지고 있는 학생
* 미래 교육지도자로서 도덕과 인성, 뚜렷한 교직관을 가진 학생
* 학문에 대한 열정 및 과학 관련 분야로 진출하고자 하는 의지가 있는 학생","물리교육과, 화학교육과, 생물교육과, 지구과학교육과 등","서울대, 이화여대 등",단국대 등,"강원대, 경상대, 경북대, 부산대, 전남대, 전북대, 충남대, 충북대, 제주대, 한국교원대 등","중등교사, 교육행정 전문가, 과학관 학예사, 전시 해설사, 변리사, 언론사, 전공 관련 연구소, 통신·반도체 기업, 제약회사 등","화법과 작문, 독서, 언어와 매체, 문학","수학Ⅰ, 수학Ⅱ, 확률과 통계, 미적분, 기하","영어 회화, 영어Ⅰ, 영어 독해와 작문, 영어Ⅱ",없음,"물리학Ⅰ, 화학Ⅰ, 생명과학Ⅰ, 지구과학Ⅰ, 물리학Ⅱ, 화학Ⅱ, 생명과학Ⅱ, 지구과학Ⅱ","교육학, 심리학",,,,,,,,,,,,,
교육학과,"고등교육, 기업과 산업교육, 나아가 평생 교육까지를 아우르는 학문으로서 교육이 무엇인가라는 거대담론으로부터 시작해 인간으로서 어떻게 사는 것이 잘 사는 것인지를 고민하며, 왜, 누가, 어디서, 누구에게, 무엇을, 어떻게 가르칠 것인가 하는 구체적인 문제를 탐구하는 교육 전문가 양성을 목적으로 하는 학과이다. ","* 교육에 대한 관심과 흥미가 많은 학생.
* 평소 교육정책을 비롯해 교육문제와 청소년문제에 관심을 가진 학생
* 교육이론을 개척하기 위한 창의력과 실천에 필요한 추진력을 가진 학생
* 사람에 대한 관심과 사랑, 호기심을 바탕으로 인문사회과학적인 소양과 공학에 대한 탐구력이 강한 학생","교육공학과, 교육심리학과, 평생교육학과, 청소년교육상담학과","건국대, 고려대, 국민대, 동국대, 상명대, 서울대, 서울여대, 성균관대, 성신여대, 세종대, 숙명여대, 연세대, 이화여대, 중앙대, 한양대, 홍익대 등","강남대, 인하대 등","강원대, 경북대, 경상대, 부산대, 전남대, 전북대, 충남대, 충북대 등","중등교사, 교육학 연구자, 기업 내 HRD담당자, 교육행정가, 학원 강사, 콘텐츠 제작자, 언론 및 방송계","화법과 작문, 독서, 언어와 매체, 문학","수학Ⅰ, 수학Ⅱ, 확률과 통계","영어 회화, 영어Ⅰ, 영어 독해와 작문, 영어Ⅱ, 진로 영어","사회·문화, 생활과 윤리, 윤리와 사상, 사회문제 탐구, 고전과 윤리",없음,"교육학, 철학, 심리학, 진로와 직업, 논술",,,,,,,,,,,,,
초등교육과,"아동의 심리적 특성, 교육의 과정 및 교육 환경에 대한 다각적 이해를 바탕으로 최대한의 교육적 효과를 거둘 수 있도록 이론적 기초와 실천적 지식을 갖추어 초등교육을 위한 유능한 예비 초등교사 양성을 목적으로 하는 학과이다.","* 인문, 사회, 과학, 예체능 등의 전반적인 관심이 있는 학생
* 어린이를 좋아하고 항상 어린이 입장에서 대하는 학생
* 어린이를 독립된 인격체로 성장할 수 있도록 도와주는 마음가짐을 가진 학생",초등교육학과,"서울교대, 이화여대",경인교대,"공주교대, 광주교대, 대구교대, 부산교대, 제주대, 전주교대, 진주교대, 청주교대, 춘천교대, 한국교원대 등","초등학교 교사, 초등교육 관련 연구원, 상담전문가, 교재 및 교구 개발자, 학원 강사, 아동방송작가, 아동발달전문가 등 ","화법과 작문, 독서, 언어와 매체, 문학","수학Ⅰ, 수학Ⅱ, 확률과 통계","영어 회화, 영어Ⅰ, 영어 독해와 작문, 영어Ⅱ","한국지리, 사회·문화, 생활과 윤리, 윤리와 사상, 사회문제 탐구","물리학Ⅰ, 화학Ⅰ, 생명과학Ⅰ, 지구과학Ⅰ, 생활과 과학","심리학, 교육학, 음악 감상과 비평, 미술 감상과 비평",,,,,,,,,,,,,
유아교육과,영·유아기 발달 과정을 이해하고 효과적인 유아 교육을 위한 이론 및 실습을 통하여 건전한 인성을 기르고 유아의 특성에 맞는 교육을 개발하고 현장에서 적용할 수 있는 전문 인력 양성을 목적으로 하는 학과이다.,"* 아이들을 좋아하며 아이들의 입장에서 이해하려는 자세
* 음악·무용·미술 등에 다양한 소질과 정확한 언어 구사 능력이 있는 학생
* 종이접기, 동화구연, 인형극 등 아이들이 좋아할 만한 특기가 있는 학생","보육학과, 아동보육과, 영유아보육과, 유아보육과, 아동미술보육과 등","덕성여대, 삼육대, 성신여대, 이화여대, 중앙대, 총신대 등","가천대, 강남대, 경기대, 경동대, 성결대, 신한대, 안양대, 을지대, 중부대, 협성대, 인천대 등","강원대, 경남대, 경상대, 부산대, 전남대, 한국교원대 등","유치원 교사, 어린이집 교사, 대학교수, 전공 관련 연구원, 동화 작가, 아동상담소, 아동심리치료소, 유아 관련 출판사, 유아 교육 교재 및 교구 제작업체, 사회 단체 및 문화센터 등","화법과 작문, 독서, 언어와 매체, 문학","수학Ⅰ, 수학Ⅱ, 확률과 통계","영어 회화, 영어Ⅰ, 영어 독해와 작문, 영어Ⅱ","생활과 윤리, 사회·문화, 사회문제 탐구","생명과학Ⅰ, 생활과 과학","철학, 심리학, 교육학, 음악 감상과 비평, 미술 감상과 비평",,,,,,,,,,,,,
인공지능학과,인공지능이란 사고나 학습 등 인간이 가진 지적 능력을 컴퓨터를 통해 구현하는 기술이다. 이런 인공지능 분야의 미래 핵심인재가 될 인공지능 전문가 양성을 목표로 하고 있는 학과로 다른 학문과의 융합이 폭넓게 이루어지는 특징이 있다.,"* 전공 지식을 바탕으로 새로운 분야에 적용하고자 하는 호기심을 가지고 있는 학생.
* 다양한 사회 및 환경의 변화를 긍정적 사고를 통해 받아들이는 열린 사고를 가진 학생.
* 창의적이며 실용적 역량을 갖춘 탁월하고 윤리적인 인재로 발전할 수 있는 학생.","AI소프트웨어학부(인공지능전공), 인공지능학과, AI컴퓨터공학부(인공지능전공), 인공지능학부, AI융합학과, HCI사이언스전공, 휴먼지능정보공학, 인공지능응용학과, AI융합학부(AI전공, 지능형IoT전공), AI융합학부 등","동국대, 동덕여대, 상명대, 서울과기대, 서울시립대, 성신여대, 세종대, 숭실대, 중앙대 등","가천대, 가톨릭대, 경기대, 한양대(에리카), 인하대 등","전남대, 충남대, 고려대(세종), 충북대 등","SW/게임/반도체/의료/자동차 등 사업 분야, 기업체/인공지능연구원 등의 연구기관, 정보통신진흥원/한국인터넷진흥원 등 공기업, 과학기술정보통신부/문화체육관광부/보건복지부/지방자치단체 등의 공무원, 대학교수 등","화법과 작문, 독서, 언어와 매체, 문학","수학Ⅰ, 수학Ⅱ, 확률과 통계, 기하, 인공지능 수학, 수학과제탐구","영어 회화, 영어Ⅰ, 영어 독해와 작문, 영어Ⅱ",사회문제탐구,"물리학Ⅰ, 물리학Ⅱ, 융합과학","인공지능기초, 정보, 논리학",,,,,,,,,,,,,
융합과학,현대사회에서 생산되는 방대하고 다양한 데이터를 다양한 분야에서 활용할 수 있도록 수집/저장/분석하는 전문가를 양성하는 학과이다.,"* 수학을 좋아하고 자료를 잘 분류하거나 유목화하는 분야에 관심이 있는 학생
* 정보를 분석하고 해석하는 것에 적성과 흥미가 있는 학생 
* 컴퓨터를 활용한 다양한 프로그램 사용에 관심이 높은 학생
* 사회 현상을 바라보는 분석력과 통찰력을 갖춘 학생","데이터과학과, 빅데이터 사이언스학부, 지능데이터융합학부, 데이터 사이언스학과, 수리통계 데이터 사이언스학부, 빅데이터 융합학과, 빅데이터 응용학과 등","고려대, 국민대, 상명대, 서울시립대, 서울여대, 성신여대, 세종대, 한양대, 홍익대 등","인하대, 을지대 등","경북대, 고려대(세종), 연세대(미래), 전남대 등","SW관련 대기업, 포털기업, 게임업체, 국책연구소와 SW 전문지식을 바탕으로 법조계나 변리사와 같은 전문직 등","화법과 작문, 독서, 언어와 매체, 문학","수학Ⅰ, 수학Ⅱ, 확률과 통계, 기하, 수학과제탐구","영어 회화, 영어Ⅰ, 영어 독해와 작문, 영어Ⅱ",정치와 법,"물리학Ⅰ, 물리학Ⅱ, 융합과학","인공지능기초, 정보, 논리학",,,,,,,,,,,,,
미래자동차학과,"최근의 자율 주행차, 드론, 전기차 등 각종 이동수단에 대한 핵심 지식을 바탕으로 미래 무인자동차 산업을 선도하는 전문 엔지니어를 양성하기 위한 학과이다.","* 논리적인 사고, 수리력, 꼼꼼한 관찰력을 바탕으로 기계관련 분야에 흥미가 있는 학생
* 심각한 교통문제 또는 환경오염 문제에 관심을 가지고 해결하고자 노력해본 경험이 있는 학생
* 원격으로 조종되는 각종 기계에 호기심을 가지고 있는 학생","스마트운행체공학과, 스마트자동화공학, 미래모빌리티학과, 미래자동차공학과, 가상증강현실융합과, 스마트 모빌리티공학과, 지능형모빌리티융합학과, 자율운항시스템공학과, 스마트자동차학과, 자동차IT융합학과 등","건국대, 국민대, 한양대, 세종대, 서울과기대 등","신한대, 인하대, 평택대 등","경북대, 고려대(세종), 전남대, 충남대 등","자동차 관련 국내외 대기업 취업, 벤처기업 창업, 전문행정직 공무원, 기계/전기전자/IT관련 기업, 연구원, 대학교수 등","화법과 작문, 독서, 언어와 매체, 문학","수학Ⅰ, 수학Ⅱ, 확률과 통계, 기하, 수학과제탐구","영어 회화, 영어Ⅰ, 영어 독해와 작문, 영어Ⅱ",한국지리,"물리학Ⅰ, 화학Ⅰ, 물리학Ⅱ, 화학Ⅱ, 생활과 과학","정보, 인공지능 기초",,,,,,,,,,,,,
정보보안학과,"해킹이나 개인정보의 유출, 암호화폐 등은 정보시스템에 대한 다양한 해킹 및 전자적 침해 행위를 대비하고, 전자거래에서 개인 및 거래정보의 안전한 전달을 보장하는 보안전문가 양성을 목표로 설립된 학과이다.","* 코딩에 관심이 있으며 정보를 분석하고 해석하는 것에 적성과 흥미가 있는 학생 
* 새로운 분야에 적극적으로 도전할 수 있는 용기를 가진 학생
* 사이버윤리에 대하여 공감하며 다양한 소통역량을 가진 학생","스마트보안학부, 정보보안암호수학과, 사이버보안학과, 사이버보안전공, 융합보안학과, 정보보호학과, 산업보안학과 등","고려대, 국민대, 덕성여대, 동국대, 서울여대, 성신여대, 세종대, 이화여대, 중앙대, 한성대 등","경기대, 단국대, 아주대, 한세대 등","경남대, 상명대(천안) 등","IT기업, 정부 및 군경 보안관련 공무원, 학계 및 연구기관 연구원 등","화법과 작문, 독서, 언어와 매체, 문학","수학Ⅰ, 수학Ⅱ, 확률과 통계, 기하, 수학과제탐구","영어 회화, 영어Ⅰ, 영어 독해와 작문, 영어Ⅱ","정치와 법, 생활과 윤리","물리학Ⅰ, 물리학Ⅱ, 융합과학","정보, 인공지능 기초",,,,,,,,,,,,,
융합학과,융합학과는 창의 융합형 인재를 육성하고자 한다. 다양한 학과가 서로 융합되어 구성된다는 특징이 있으며 인공지능과 융합된 학과가 많은 편이다.,"* 다양한 전공의 진로를 설계하고 있는 학생
* 다양한 전공을 ICT계열 및 AI관련분야와 융합하고자 하는 학생
* 하나의 전공분야의 틀에 고정되기 보다는 다양한 학문적 경험을 하고자 하는 학생
* 새로운 분야를 개척하고자 하는 도전의식이 있는 학생","융합인재학과, 융합전자공학부, 융합에너지공학과, 가상증강현실융합학과, 의생명융합공학부, SW융합학부, 융합응용화학과, 글로벌융합학부, 화학에너지융합학부, 바이오헬스융합학부, 스마트생명산업융합학과. IT융합학부, 융합콘텐츠학과, 융합보건학과, IT금융학과, 융합공학부, 생명정보융합학과, 스마트융합공학부 등","건국대, 동덕여대, 상명대, 서울시립대, 성균관대, 성신여대, 세종대, 숭실대, 중앙대 등","안양대, 평택대, 한경대 등","충남대, 경남과기대, 한남대, 부산대, 울산대, 전주대, 남서울대 등",4차 산업혁명시대에 적합한 인재상으로 사회 각 분야의 전문가로 진출,"화법과 작문, 독서, 언어와 매체, 문학","수학Ⅰ, 수학Ⅱ, 확률과 통계, 수학과제탐구","영어 회화, 영어Ⅰ, 영어 독해와 작문, 영어Ⅱ",사회문제탐구,생활과 과학,"정보, 인공지능 기초",,,,,,,,,,,,,

과목명,구분,특성,수능 출제 여부,관련 인증 및 자격증,관련학과,관련직업,선생님의 한 마디,내용 체계,평가정보
화법과 작문,일반선택,"'국어'의 듣기/말하기 영역과 쓰기 영역을 심화/확장한 과목으로, 다양한 주제와 유형의 담화, 글을 바탕으로 하여 의미를 구성하고 효과적으로 소통하는 능력을 기르는 데 목적을 둔다. ",수능 선택,"국어능력인증, KBS한국어능력검정, 한국어교육능력검정, 한국어교원자격증, 한국실용 글쓰기검정 등","국어국문학과, 국어교육학과, 통번역학과, 광고홍보학과, 신문방송학과, 미디어커뮤니케이션학과, 언어학과, 문예창작과, 문헌정보학과 등","언론인, 작가, 언어학연구원, 방송작가, 상담 전문가, 출판물편집자, 카피라이터, 평론가, 프로듀서, 통역사 등","다양한 주제 및 유형의 담화와 글을 접하고, 능동적이고 효과적으로 소통하는 능력과 바람직한 의사소통의 태도를 익힐 수 있다. 자신의 생각을 적절한 표현 전략과 전달 방법을 활용해 말이나 글로 생산하면서 대학 진학 이후에도 발표나 토론, 보고서 쓰기 등 공식적 상황에 필요한 의사소통 능력을 키우는 데 도움이 되는 과목이다. ","● 화법과 작문의 본질 (자아 인식, 대인 관계, 사회적 상호 작용)
● 화법의 원리와 실제 (화법의 구성 요소, 담화의 맥락, 담화의 유형, 화법의 전략, 화법의 표현과 전달 방법)
● 작문의 원리와 실제 (작문의 구성 요소, 작문의 맥락, 글의 유형, 작문의 전략, 작문의 표현과 전달 방법)
● 화법과 작문의 태도 (배려·공감, 진정성·책임감)",성취도 5단계/등급 산출
독서,일반선택,"‘국어’의 읽기 영역을 심화/확장한 과목으로, 다양한 주제와 유형의 글을 폭넓게 읽어 삶을 풍부하게 하는 데 목적이 있다.",수능 필수,"국어능력인증, KBS한국어능력검정, 한국어교육능력검정, 한국어교원자격증, 한국실용글쓰기검정 등","국어국문학과, 국어교육학과, 신문방송학과, 미디어커뮤니케이션학과, 언어학과, 문예창작과, 문헌정보학과, 독서문화콘텐츠학과 등","언론인, 중등교사, 독서지도사, 출판물편집자, 평론가, 프로듀서, 통역사, 문헌학자 등","다양한 분야의 독서 경험을 통해 비판적이고 창의적인 독서 능력을 기를 수 있다. 자아와 타인에 대한 이해를 넓히고 글을 읽는 목적에 따라 스스로 책을 찾아 읽는 독자로서의 소양을 갖추고, 학습에 필요한 배경 지식과 역량을 기를 수 있다.","● 독서의 본질 (글과 독서의 가치, 상호 텍스트성)
● 독서의 방법 (사실적 이해, 추론적 이해, 비판적 이해, 감상적 이해, 창의적 이해)
● 독서의 분야 (교양 독서, 매체 읽기)
● 독서의 태도 (독서 계획, 독서 활동)",성취도 5단계/등급 산출
언어와 매체,일반선택,"'국어'의 음성 언어 , 문자 언어 , 매체 언어 등 실제 생활에서 접할 수 있는 언어의 본질을 이해하고 이를 실제 의사소통에 통합적으로 활용하는 능력과 태도를 기르는 데 목적을 둔다.",수능 선택,"국어능력인증, KBS한국어능력검정, 한국어교육능력검정, 한국어교원자격증, 한국실용글쓰기검정 등 ","국어국문학과, 국어교육학과, 신문방송학과, 미디어커뮤니케이션학과, 언어학과, 문예창작과, 광고홍보학과, 신문방송학과, 문헌정보학과 등","언론인, 중등교사, 작가, 언어학연구원, 언어 치료사, 방송작가, 소설가, 시인, 영화시나리오 작가, 출판물편집자, 카피라이터, 평론가, 프로듀서, 통역사 등","정확한 언어 사용을 위한 국어 문법의 체계와 특징을 공부하고, 현대 사회의 의사소통에서 비중이 높아지는 매체 자료를 비판적으로 수용하거나 창의적으로 의미를 구성하는 능력을 기를 수 있다.  ","● 언어와 매체의 본질 (언어와 인간, 매체와 소통)
● 국어의 탐구와 활용 (음운·단어·문장·담화, 국어 자료의 다양성)
● 매체 언어의 탐구와 활용 (인쇄 매체, 전자 매체, 대중 매체, 복합 양식성)
● 언어와 매체에 관한 태도 (국어생활, 매체 문화)",성취도 5단계/등급 산출
문학,일반선택,"'국어'의 문학 영역을 심화/확장한 과목으로, 문학과 관련한 다양한 활동을 바탕으로 문학 작품을 창작/감상하는 능력을 기르고 문학에 대한 소양과 태도를 기르는 데 목적을 두고 있다. ",수능 필수,"국어능력인증, KBS한국어능력검정, 한국어교육능력검정, 한국어교원자격증, 한국실용글쓰기검정 등","문예창작과, 국어국문학과, 국어교육학과, 영어영문학과, 불어불문학과, 독어독문학과, 노어노문학과, 중어중문학과, 일어일문학과, 통번역학과, 언어학과, 신문방송학과, 미디어커뮤니케이션학과, 문헌정보학과 등","시인, 소설가, 극작가, 방송작가, 영화 시나리오 작가, 평론가, 인문사회 계열 교수, 언론인, 중등교사, 언어학연구원, 출판물편집자, 카피라이터, 프로듀서, 통역사 등","인간의 삶과 불가분의 관계에 있는 언어 예술로서 문학이 지니는 가치/역사/체계에 대한 이해, 작가 또는 독자의 위치에서 참여하는 문학 활동, 다양한 맥락 속에서 문학이 향유되는 과정 등을 직간접적으로 경험할 수 있다.","● 문학의 본질 (언어 예술, 진·선·미)
● 문학의 수용과 생산 (문학 능력, 문학문화, 작가와 독자, 문학의 확장, 작품의 내재적·외재적 요소)
● 한국 문학의 성격과 역사 (한국 문학, 문학사와 역사적 갈래, 문학과 사회·문화)
● 문학에 대한 태도 (자아 성찰, 타자의 이해와 소통, 문학의 생활화)",성취도 5단계/등급 산출
실용 국어,진로선택,'국어'에서 학습한 결과를 바탕으로 일상 생활 및 직업 생활에서 업무를 수행하는 데 필요한 능력을 기르는 데 목적을 두고 있는 진로 선택 과목이다.,수능 출제 과목 아님,"국어능력인증, KBS한국어능력검정, 한국어교육능력검정, 한국어교원자격증, 한국실용글쓰기검정 등","신문방송학과, 미디어커뮤니케이션학과, 언어학과, 광고홍보학과","언론인, 인문사회계열 교수, 중등교사, 작가","취업을 목표로 하는 학습자를 대상으로 하여 취업과 관련하여 업무 수행을 위해 말이나 글, 자료 등을 정확하게 이해하고 맥락에 따라 자신의 의사를 효과적으로 전달하는 방법을 기르는 데 중점을 두고 있다. ","● 직무 어휘와 어법 (어휘 선턱, 문장 작성)
● 정보의 해석과 조직 (정보 해석, 정보 조직)
● 설득과 협력적 문제 해결 (설득, 의사 결정, 문제 해결, 갈등 관리)
● 대인 관계와 의사소통 (대인 관계, 언어 예절)
● 문화와 교양 (의사소통 문화, 자아 성찰, 교양 함양)",성취도 3단계/등급 미산출
심화 국어,진로선택,'국어'에서 학습한 결과를 바탕으로 심화된 학문 탐구 능력을 향상시키기 위한 진로 선택 과목이다. ,수능 출제 과목 아님,"국어능력인증, KBS한국어능력검정, 한국어교육능력검정, 한국어교원자격증, 한국실용글쓰기검정 등","국어국문학과, 국어교육학과, 문예창작과, 신문방송학과, 미디어커뮤니케이션학과, 언어학과, 광고홍보학과, 문헌정보학과 등","학자, 언론인, 중등교사, 작가, 연구원, 평론가, 프로듀서, 통역사 등","대학교에 진학하여 자신이 선택한 전공 분야의 전문적 내용을 학습하기 위해 필요한 능력들, 즉 폭넓은 사고력, 언어적 사고력, 깊이 있는 이해 및 표현 능력 등을 기름으로써 원활한 학업 수행이 이루어지도록 하는 데에 중점을 두는 과목이다. ","● 논리적 사고와 의사소통 (논리적 사고, 정보 활용, 정보 소통)
● 비판적 사고와 문제 해결 (비판적 사고, 의사 결정, 문제 해결)
● 창의적 사고와 문화 활동 (창의적 사고, 언어 예술, 언어 공동체)
● 윤리적 사고와 학문 활동 (윤리적 사고, 학문 탐구 자세)",성취도 3단계/등급 미산출
고전 읽기,진로선택,'국어'에서 학습한 결과를 바탕으로 다양한 고전을 읽으며 보다 수준 높은 교양을 갖추고 다양한 분야의 진로에 필요한 지혜와 소양을 기르는 데 목적을 둔다. ,수능 출제 과목 아님,"국어능력인증, KBS한국어능력검정, 한국어교육능력검정, 한국어교원자격증, 한국실용글쓰기검정 등","국어국문학과, 국어교육학과, 한문학과, 철학과, 신문방송학과, 미디어커뮤니케이션학과, 언어학과, 문헌정보학과 등","언론인, 중등교사, 인문사회 계열 교수, 연구원, 번역가, 작가, 학예사, 평론가, 프로듀서, 통역사 등","인문, 예술, 사회, 문화, 과학, 기술 등 다양한 분야의 고전을 읽고 이를 바탕으로 한 토론과 논술 활동을 전개한다. 이를 통해 희망 진로와 해당 분야에 대한 이해를 심화시킬 수 있으며, 고전이 우리 삶에 지니는 의미와 가치에 대한 이해를 높일 수 있다.","● 고전의 가치 (고전의 지혜, 성찰적 독서)
● 고전의 수용 (정전으로서의 고전, 고전과 교양)
● 고전과 국어 능력 (고전의 표현 방법, 국어문화)
● 고전과 삶 (고전과 인성, 고전 읽기의 생활화)",성취도 3단계/등급 미산출
수학Ⅰ,일반선택,"공통과목인 ‘수학’을 학습한 후 더 높은 수준의 수학을 학습하기를 원하는 학생들이 선택할 수 있는 과목이다. 지수로그함수, 삼각함수, 수열 3개의 핵심 개념 영역을 학습함으로써 수학의 규칙성과 구조의 아름다움을 음미하고, 수학의 지식과 기능을 활용할 수 있다.",수능 필수,없음,"사회과학계열, 자연과학계열, 공학계열 학과 전체","경제학자, 통계학자, 지리학자, 물리학자, 천문학자, 생명과학자, 대기과학자, 건축가, 전기전자공학자, 화학공학자, 기계공학자, 에너지공학자, 파일럿, 항해사, 음향전문가 등","지수함수와 로그함수는 다양한 자연현상을 해석하는 데 많이 쓰인다. 생태계의 종의 개체 수, 소리의 크기, 방사성 동위 원소의 잔류량 등은 지수함수나 로그함수로 표현할 수 있다. 삼각함수는 고대의 삼각법에서 기원한 학문으로서 천문학과 항해술의 발전에 크게 기여하였고 수열은 수의 규칙성을 관찰하는 것뿐만 아니라 미적분 과목의 수열의 극한과도 연결되며 미적분학의 기초 개념으로 활용된다. ","● 해석 (지수와 로그, 지수함수와 로그함수, 삼각함수)
● 대수 (등차수열과 등비수열, 수열의 합, 수학적 귀납법)",성취도 5단계/등급 산출
